Pair	A/U	C/G	G/C	U/A	G/U	U/G
A/U	-0.9	-1.8	-2.3	-1.1	-1.1	-0.8
C/G	-1.7	-2.9	-3.4	-2.3	-2.1	-1.4
G/C	-2.1	-2.0	-2.9	-1.8	-1.9	-1.2
U/A	-0.9	-1.7	-2.1	-0.9	-1.0	-0.5
G/U	-0.5	-1.2	-1.4	-0.8	-0.4	-0.2
U/G	-1.0	-1.9	-2.1	-1.1	-1.5	-0.4
SIZE	INTERNAL	BULGE	HAIRPIN 
1	10000	10000	10000
2	4.1	3.1	10000
3	5.1	3.5	4.1
4	4.9	4.2	4.9
5	5.3	4.8	4.4
6	5.3	4.8	4.4
7	5.3	4.8	4.4
8	5.3	4.8	4.4
9	5.3	4.8	4.4
10	6.3	5.5	5.3
11	6.3	5.5	5.3
12	6.3	5.5	5.3
13	6.3	5.5	5.3
14	6.3	5.5	5.3
15	6.7	6.0	5.8
16	6.7	6.0	5.8
17	6.7	6.0	5.8
18	6.7	6.0	5.8
19	6.7	6.0	5.8
20	7.0	6.3	6.1
21	7.0	6.3	6.1
22	7.0	6.3	6.1
23	7.0	6.3	6.1
24	7.0	6.3	6.1
25	7.2	6.5	6.3
26	7.2	6.5	6.3
27	7.2	6.5	6.3
28	7.2	6.5	6.3
29	7.2	6.5	6.3
30	7.4	6.7	6.5
